token,sources,scenes,failure_groups,selection_priority_score,recommended_role,phog_error_m,lsd_error_m,oracle_top50_error_m,anchor_top1_error_m,best_any_stream_error_m,best_stream
990,"s4c6,s7b4",mixed_urban_natural,"anchor_success,lsd_rescue",30,supporting_failure_case,1638.1540256423496,22.57078829934072,22.57078829934072,57.9746876781087,22.57081947543621,center
6,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,640.4921796846993,12.262617224032272,center
16,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,1152.3415249331977,15.307403070435582,center
21,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,1476.6675655719257,35.93485571853286,center
26,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,29.005372837197708,20.526915323003703,center
31,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,11.74350308054015,11.74350308054015,center
36,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,51.909551038457934,5.350554710134559,center
40,"s4c6,s7b4",mixed_urban_natural,"anchor_success,stable_success",0,supporting_failure_case,12.433470075565795,12.433470075565795,12.433470075565795,12.433487249405625,12.433487249405625,center
41,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,23.934168354034064,12.406578903656724,center
46,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,18.667901895561297,17.57370111194292,center
51,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,11.381155301295788,11.381155301295788,center
56,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,29.03867078718236,6.721247144676574,center
61,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,29.61089454578912,29.02944377167308,center
66,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,637.4951929052056,18.08377789366144,center
71,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,11.144605943225368,11.144605943225368,center
76,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,28.419712175537224,8.831512753609758,center
79,"s4c6,s7b4",mixed_urban_natural,"anchor_success,selection_failure_correct_in_pool",0,supporting_failure_case,958.9556441295272,958.9556441295272,21.13219983838755,31.74251537188141,16.464245251750977,center
81,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,29.56361596246992,16.763974196951615,center
86,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,24.51902058908105,19.66862744620543,center
91,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,14.093254895921186,14.093254895921186,center
96,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,56.07127947578572,16.16288978679333,center
100,"s4c6,s7b4",mixed_urban_natural,"anchor_success,stable_success",0,supporting_failure_case,20.692325852243,20.692325852243,20.692325852243,20.69235443369937,16.376958373629183,center
101,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,26.852777579561984,22.558110900992823,center
106,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,54.27453872996816,18.50764519521632,center
107,"s4c6,s7b4",mixed_urban_natural,"anchor_success,selection_failure_correct_in_pool",0,supporting_failure_case,1119.7144470258745,1119.7144470258745,23.320008386014507,55.28957962955093,21.662760730319448,center
111,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,52.912735932543896,17.02207585113172,center
116,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,1307.726171352295,28.670637302316035,center
126,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,310.07525739300286,35.951121018033504,center
129,"s4c6,s7b4",mixed_urban_natural,"anchor_success,selection_failure_correct_in_pool",0,supporting_failure_case,211.91783012332223,310.61293114300105,16.66488872626882,287.7497958179088,16.66491174479303,center
131,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,353.0053434939604,17.71332608271357,resize
136,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,2318.086334132641,19.217497831625163,center
139,"s4c6,s7b4",mixed_urban_natural,"anchor_success,stable_success",0,supporting_failure_case,19.47232333316969,19.47232333316969,19.47232333316969,2344.5318326793413,19.4723502294846,center
141,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,1219.5160120461774,15.321822410258337,center
146,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,2375.992760901223,21.897395052246505,center
151,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,108.2902060277804,24.94902164483869,center
156,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,63.34545795596389,22.18780999579307,center
161,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,20.79413234580037,16.282531394551338,center
171,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,37.86305050819872,14.961733158081351,center
