token,variants,per_variant_top_n,union_top_k_eval,candidate_count,top1_error_m,top1_hit_le_threshold,oracle_topk_error_m,oracle_topk_hit_le_threshold,first_correct_rank,best_correct_error_m,token_int
556,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,91,1146.351016721857,False,28.765244690436067,True,47.0,7.233950455543058,556
561,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,109,2233.769617515345,False,587.2769731974296,False,,,561
564,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,95,1381.470709577026,False,47.86307477668596,False,67.0,38.75681158318906,564
566,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,93,1381.0982356595218,False,47.33139978436173,False,64.0,38.09826607719721,566
571,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,101,692.2938686618959,False,18.944645732436346,True,46.0,18.944645732436346,571
573,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,100,2220.6429085593422,False,616.6947089530771,False,,,573
576,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,117,1947.52323609762,False,533.3509578907225,False,,,576
577,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,113,1949.4163461478024,False,535.2635983200925,False,,,577
581,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,116,1967.7214688758816,False,553.7668739724363,False,,,581
586,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,140,2022.8739720310684,False,511.8771464560593,False,,,586
591,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,134,1327.7703099888802,False,278.6999860848295,False,,,591
596,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,138,636.7641900914416,False,203.23023398275845,False,,,596
601,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,129,1828.5037972274613,False,363.0908847605017,False,,,601
606,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,126,1854.266919243125,False,259.74084824622486,False,,,606
611,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,123,1989.9526269698129,False,236.93884946274804,False,,,611
614,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,124,1944.7778207945853,False,141.90573834343806,False,,,614
616,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,126,1784.325931274716,False,144.73304604901867,False,,,616
621,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,150,1868.1139578408936,False,92.44761537497416,False,78.0,24.71865113573828,621
626,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,153,1818.051313989629,False,78.78194827733044,False,70.0,24.477545057639603,626
631,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,152,1739.9867687668204,False,94.79163479293052,False,,,631
636,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,149,1547.1419084728109,False,346.1792932978889,False,,,636
641,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,141,1456.0213159397708,False,197.47445916135064,False,,,641
646,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,136,1521.6150692988497,False,197.53310364683296,False,,,646
651,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,126,1474.4735519347305,False,132.49855233276165,False,,,651
653,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,128,1786.6107952848515,False,120.87787245715178,False,,,653
656,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,124,1787.0107260101247,False,105.3387785762027,False,,,656
